Horodateur,Quel est ton âge ?,Quel est ton niveau scolaire actuel ?,Quelles sont tes matières préférées à l’école ?,Quelles matières aimes-tu le moins ?,Quel type d’activités préfères-tu en dehors de l’école ?,Préfères-tu travailler seul(e) ou en groupe ?,"Aimes-tu les matières scientifiques (maths, physique, chimie) ?","Préfères-tu les matières littéraires (français, histoire, langues) ?","Es-tu intéressé(e) par les arts (musique, dessin, théâtre) ?",Quel est ton style d’apprentissage préféré ?,Aimes-tu résoudre des problèmes ou des énigmes ?,Te sens-tu à l’aise avec les technologies et l’informatique ?,Aimes-tu travailler avec des chiffres et des données ?,Es-tu attiré(e) par les métiers liés à la santé ou au social ?,Quel est ton niveau en langues étrangères ?,Préfères-tu des métiers créatifs ou techniques ?,Aimes-tu la recherche et l’analyse ?,As-tu déjà une idée du métier que tu aimerais faire plus tard ?,Quel type d’environnement de travail te motive le plus ?,Es-tu prêt(e) à suivre des études longues (plus de 3 ans) ?,Quelle importance accordes-tu à la stabilité de l’emploi dans ton choix de carrière ?,Préfères-tu un métier avec beaucoup de contacts humains ?,Quel rôle voudrais-tu avoir dans une équipe ?,Quelles qualités personnelles te décrivent le mieux ?,Comment gères-tu le stress ou les situations difficiles ?,As-tu déjà participé à des projets ou activités extra-scolaires ?,Quelle place accordes-tu à l’innovation et à la créativité dans ton travail ?,Es-tu intéressé(e) par l’entrepreneuriat ou créer ta propre entreprise ?,Quels sont tes objectifs personnels à court terme (1-2 ans) ?,Comment imagines-tu ta vie professionnelle dans 10 ans ?,Champ convenable
06/07/2025 12:40:52,Moins de 14 ans,Terminale,"Langues étrangères, Arts plastiques / Musique, Français",,"Sports, Jeux vidéo, Lecture",Ça dépend des situations,"Oui, beaucoup",Pas du tout,Non,Je ne sais pas,"Oui, beaucoup",Oui,Oui,Peut-être,Courant / bilingue,Techniques,Non,Pas encore,Travail manuel,Non,Moyennement importante,Parfois,Leader / chef de projet,Créatif(ve),Je préfère éviter ces situations,"Oui, plusieurs fois",Très importante,Pas du tout,Créer un projet personnel,Être entrepreneur,Technologie / Technique
06/07/2025 12:45:52,18 ans et plus,Seconde,Français,Sciences de la vie et de la Terre,"Lecture, Activités artistiques",Ça dépend des situations,Pas du tout,Pas du tout,Non,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Moyennement,Parfois,Oui,Débutant,Techniques,Oui,J’ai quelques idées,Laboratoire / recherche,Non,Très importante,Parfois,Organisateur / planificateur,Dynamique,Je me sens parfois dépassé(e),Non,Très importante,"Oui, beaucoup",Développer mes compétences,Contribuer à la société,Divers
06/07/2025 12:50:52,16-17 ans,Post-bac / Université,"Physique-Chimie, Arts plastiques / Musique, Langues étrangères",Histoire-Géographie,"Activités artistiques, Lecture, Bénévolat / Engagement associatif",Ça dépend des situations,Pas du tout,"Oui, beaucoup",Un peu,"Auditif (écoute, explications orales)",Parfois,Moyennement,Parfois,Non,Débutant,Techniques,Oui,J’ai quelques idées,Je ne sais pas,Oui,Très importante,Oui,Organisateur / planificateur,"Curieux(se), Organisé(e), Rigoureux(se)",Je me sens parfois dépassé(e),"Oui, une fois ou deux",Moyennement importante,Un peu,Trouver un stage,Contribuer à la société,Recherche / Sciences
06/07/2025 12:55:52,Moins de 14 ans,Première,"Physique-Chimie, Sciences de la vie et de la Terre, Histoire-Géographie","Mathématiques, Langues étrangères","Bénévolat / Engagement associatif, Jeux vidéo",En groupe,"Oui, beaucoup",Un peu,Non,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Moyennement,Parfois,Peut-être,Courant / bilingue,Les deux,Non,J’ai quelques idées,Travail manuel,Peut-être,Très importante,Oui,Je ne sais pas,"Patient(e), Curieux(se), Créatif(ve)",Je me sens parfois dépassé(e),Non,Peu importante,Un peu,Trouver un stage,Avoir un poste à responsabilités,Technologie / Technique
06/07/2025 13:00:52,16-17 ans,Post-bac / Université,"Physique-Chimie, Langues étrangères",,"Jeux vidéo, Bénévolat / Engagement associatif",Ça dépend des situations,"Oui, beaucoup",Un peu,Non,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Oui,Peut-être,Courant / bilingue,Créatifs,Non,Pas encore,Travail manuel,Oui,Très importante,Parfois,Exécutant / spécialiste,"Curieux(se), Rigoureux(se), Patient(e)",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Peu importante,Un peu,Créer un projet personnel,Continuer à apprendre,Divers
06/07/2025 13:05:52,16-17 ans,Première,"Histoire-Géographie, Mathématiques, Physique-Chimie",,"Lecture, Activités artistiques, Sports",Ça dépend des situations,Pas du tout,"Oui, beaucoup",Oui,Je ne sais pas,"Oui, beaucoup",Oui,Parfois,Peut-être,Intermédiaire,Techniques,Oui,"Oui, clairement",Laboratoire / recherche,Oui,Très importante,Parfois,Leader / chef de projet,"Curieux(se), Créatif(ve), Organisé(e)",Je préfère éviter ces situations,Non,Peu importante,Un peu,Trouver un stage,Être entrepreneur,Arts / Création
06/07/2025 13:10:52,Moins de 14 ans,Première,Français,Histoire-Géographie,"Lecture, Sports, Jeux vidéo",Seul(e),Pas du tout,"Oui, beaucoup",Oui,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Oui,Non,Intermédiaire,Je ne sais pas,Oui,J’ai quelques idées,Travail en extérieur,Peut-être,Moyennement importante,Oui,Créatif / innovateur,Organisé(e),Je préfère éviter ces situations,"Oui, plusieurs fois",Moyennement importante,"Oui, beaucoup",Développer mes compétences,Contribuer à la société,Arts / Création
06/07/2025 13:15:52,16-17 ans,Post-bac / Université,"Mathématiques, Physique-Chimie",Histoire-Géographie,"Sorties avec des amis, Lecture, Activités artistiques",Ça dépend des situations,Pas du tout,"Oui, beaucoup",Un peu,"Kinesthésique (faire, manipuler)",Non,Non,Oui,Non,Intermédiaire,Techniques,Non,"Oui, clairement",Bureau / travail sur ordinateur,Non,Très importante,Oui,Je ne sais pas,"Curieux(se), Organisé(e), Rigoureux(se)",Je me sens parfois dépassé(e),"Oui, une fois ou deux",Moyennement importante,Pas du tout,Créer un projet personnel,Travailler dans un domaine qui me passionne,Santé / Social
06/07/2025 13:20:52,18 ans et plus,Post-bac / Université,Arts plastiques / Musique,Physique-Chimie,"Bénévolat / Engagement associatif, Activités artistiques, Sports",En groupe,"Oui, beaucoup",Pas du tout,Oui,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Oui,Non,Intermédiaire,Créatifs,Non,J’ai quelques idées,Travail manuel,Oui,Moyennement importante,Oui,Exécutant / spécialiste,"Patient(e), Organisé(e)",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Moyennement importante,"Oui, beaucoup",Trouver un stage,Contribuer à la société,Arts / Création
06/07/2025 13:25:52,Moins de 14 ans,Première,Sciences de la vie et de la Terre,,"Bénévolat / Engagement associatif, Sorties avec des amis, Activités artistiques",Seul(e),Un peu,Pas du tout,Non,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Oui,Non,Oui,Intermédiaire,Techniques,Un peu,J’ai quelques idées,Travail en extérieur,Oui,Très importante,Oui,Je ne sais pas,Créatif(ve),Je préfère éviter ces situations,"Oui, une fois ou deux",Moyennement importante,"Oui, beaucoup",Obtenir mon diplôme,Contribuer à la société,Santé / Social
